countryCode,GDP
AW,29342.1009
AF,368.754614
AO,1953.53376
AL,6492.87201
AD,42137.3273
AE,44315.5542
AR,10636.1202
AM,4966.51347
AS,15743.3108
AG,15781.3957
AU,60443.1092
AT,53637.7057
AZ,5387.99797
BI,221.477676
BE,51247.0144
BJ,1319.15499
BF,893.077156
BD,2457.92488
BG,12221.4966
BH,26562.9691
BS,27478.3896
BA,7143.31055
BY,7302.25779
BZ,6228.26731
BM,114090.328
BO,3345.19659
BR,7507.16097
BB,17225.4623
BN,31449.0766
BT,3266.36491
BW,6805.22127
CF,461.13749
CA,51987.9391
CH,91991.6005
CL,16265.096
CN,12556.3331
CI,2549.0413
CM,1666.93273
CD,577.209215
CG,2290.38289
CO,6104.13671
KM,1577.47103
CV,3293.23305
CR,12472.4437
CU,9499.5902
KY,86568.7696
CY,31551.8164
CZ,26821.2452
DE,51203.5545
DJ,3150.43673
DM,7653.17187
DK,68007.7567
DO,8476.75216
DZ,3690.62788
EC,5965.13287
EG,3698.83498
ER,643.790042
ES,30103.5137
EE,27943.7012
ET,925.077428
FI,53654.7503
FJ,4646.61272
FR,43658.979
FO,69010.3098
FM,3571.33677
GA,8635.32569
GB,46510.2828
GE,5023.27438
GH,2363.2993
GN,1189.176
GM,772.152395
GW,795.118569
GQ,7506.66752
GR,20192.5963
GD,9010.57224
GL,54571.2092
GT,5025.54229
GU,35904.8635
GY,9998.54431
HK,49800.5424
HN,2771.71746
HR,17685.3253
HT,1829.59304
HU,18728.1219
ID,4332.70928
IM,87157.4715
IN,2256.59041
IE,100172.079
IR,4091.20919
IQ,4775.37745
IS,68727.6367
IL,52170.7119
IT,35657.4976
JM,5183.5813
JO,4103.25897
JP,39312.6604
KZ,10373.7898
KE,2081.79985
KG,1276.70037
KH,1625.23502
KI,1606.46251
KN,18082.6102
KR,34997.7816
KW,24300.3294
LA,2535.62343
LB,4136.14635
LR,675.663186
LY,6357.19555
LC,9414.22623
LI,157754.954
LK,4013.68766
LS,1094.09818
LT,23723.3403
LU,133590.147
LV,21148.1629
MO,43873.5912
MA,3795.38013
MC,234315.461
MD,5230.66173
MG,500.511032
MV,10366.2934
MX,10045.6805
MH,6172.14507
MK,6694.64113
ML,873.794862
MT,33486.672
MM,1209.92694
ME,9465.704
MN,4566.14015
MP,23707.3288
MZ,491.839113
MR,2166.0468
MU,9106.2372
MW,634.83566
MY,11109.2618
NA,4865.55776
NC,37159.5468
NE,590.629455
NG,2065.74907
NI,2045.5354
NL,57767.8788
NO,89154.2761
NP,1208.21853
NR,10648.1414
NZ,48781.0266
OM,19509.4665
PK,1505.01019
PA,14617.6045
PE,6621.57434
PH,3460.53096
PW,12083.8881
PG,2672.94579
PL,17999.9099
PR,32640.7103
PT,24567.5093
PY,5891.49997
PS,3663.96905
PF,19914.6035
QA,66838.3574
RO,14858.2294
RU,12194.7773
RW,822.347989
SA,23185.8708
SD,751.82135
SN,1636.89321
SG,72794.003
SB,2304.84457
SL,480.039211
SV,4551.18466
SM,45320.2087
SO,446.98156
RS,9230.17832
SS,1071.77776
ST,2360.54355
SR,4869.13423
SK,21391.9253
SI,29291.4006
SE,61028.7381
SZ,3978.40353
SC,14653.3094
SY,533.385232
TC,20908.5827
TD,685.690284
TG,973.206129
TH,7066.19055
TJ,897.04751
TM,7344.64823
TL,2741.39393
TO,4426.00064
TT,16032.5028
TN,3807.13915
TR,9661.23598
TV,5632.00299
TZ,1099.2876
UG,883.892032
UA,4835.57178
UY,17313.1883
US,70248.629
UZ,1983.06472
VC,8666.38704
VE,15975.7294
VI,39552.1686
VN,3756.48912
VU,2996.62106
WS,3857.31846
YE,701.714878
ZA,7055.04478
ZM,1137.34363
ZW,1773.92041
