countryCode,literacy
AW,97.9899979
AF,37.2660408
AO,72.2799988
AL,98.4499969
AE,98.126358
AR,99.0038681
AM,99.7886124
AS,98.7519608
AG,98.9499969
AZ,99.7959824
BI,74.7099991
BJ,45.8400002
BF,46.0400009
BD,74.9088974
BG,98.4199982
BH,92.3000031
BA,98.0999985
BY,99.8740005
BZ,80.9000015
BO,93.852562
BR,94.3000031
BB,99.5999985
BN,97.5899963
BT,70.9499969
BW,86.8231812
CF,37.4900017
CL,97.0400009
CN,97.1500015
CI,89.8934174
CM,78.2300034
CD,80.0199966
CG,80.6100006
CO,95.6363297
KM,61.9900017
CV,90.7799988
CR,98.0400009
CU,99.673111
KY,98.8678207
CY,99.3600006
DO,95.1699982
DZ,81.4078369
EC,94.4835892
EG,73.0899963
ER,76.5705185
ES,98.4365005
EE,99.8700027
ET,51.7711792
GA,85.4599991
GE,99.5584412
GH,80.3799973
GN,45.3300018
GM,58.0600014
GW,52.8899994
GQ,94.3705368
GR,97.9359512
GD,98.5999985
GT,83.3499985
GY,88.8499985
HN,88.507431
HR,99.4499969
HT,61.691349
HU,99.0999985
ID,95.9990082
IN,74.3729935
IR,88.7399979
IQ,85.5999985
IT,99.3490982
JM,88.0999985
JO,98.4199982
KZ,99.8000031
KE,82.6200027
KG,81.5349731
KH,83.9100037
KR,98.8000031
KW,96.4575424
LA,87.0699997
LB,95.3000031
LR,48.3013611
LY,86.0999985
LK,92.3823013
LS,81.0199966
LT,99.8300018
LV,99.8899994
MO,97.1100006
MA,75.9300003
MD,99.5999985
MG,77.25
MV,97.8600006
MX,95.2478485
MK,97.8000031
ML,30.7614098
MT,94.9400024
MM,89.0699463
ME,98.9800034
MN,99.1832733
MZ,63.4199982
MR,66.9599991
MU,92.1500015
MW,67.3099976
MY,94.9711304
NA,92.25
NC,97.8000031
NE,37.3400002
NG,62.0160103
NI,82.6145477
NP,71.1500015
OM,95.6515274
PK,57.9988594
PA,95.7360764
PE,94.4979324
PH,96.2781677
PW,96.5937424
PG,61.5999985
PL,99.8000031
PR,92.4000015
KP,99.9981918
PT,96.7799988
PY,94.544548
QA,93.4639664
RO,98.9000015
RU,99.6999969
RW,75.9000015
SA,97.5850677
SD,60.6971817
SN,56.2999992
SG,97.1318512
SB,76.5999985
SL,47.7000008
SV,89.9845276
RS,99.4825287
SS,34.5227585
ST,93.8000031
SR,95
SI,99.6999969
SZ,89.2799988
SC,96.1999969
SY,86.3000031
TD,26.7600002
TG,66.5370789
TH,94.0999985
TJ,99.8000031
TM,99.6999969
TL,69.9000015
TO,99.4000015
TT,98.6999969
TN,82.6999969
TR,96.7422104
TZ,81.8000031
UG,79
UA,100
UY,98.7703476
UZ,99.9999466
VE,97.5
VN,95.7538681
VU,89.0999985
WS,99.0999985
YE,54.0999985
ZA,95.0229721
ZM,87.5
ZW,89.6999969
