countryCode,population
AW,106537
AF,40099462
AO,34503774
AL,2811666
AD,79034
AE,9365145
AR,45808747
AM,2790974
AS,45035
AG,93219
AU,25688079
AT,8955797
AZ,10137750
BI,12551213
BE,11592952
BJ,12996895
BF,22100683
BD,169356251
BG,6877743
BH,1463265
BS,407906
BA,3270943
BY,9340314
BZ,400031
BM,63867
BO,12079472
BR,214326223
BB,281200
BN,445373
BT,777486
BW,2588423
CF,5457154
CA,38246108
CH,8703405
CL,19493184
CN,1412360000
CI,27478249
CM,27198628
CD,95894118
CG,5835806
CO,51516562
KM,821625
CV,587925
CR,5153957
CU,11256372
KY,68136
CY,1244188
CZ,10505772
DE,83196078
DJ,1105557
DM,72412
DK,5856733
DO,11117873
DZ,44177969
EC,17797737
EG,109262178
ER,3620312
ES,47415750
EE,1330932
ET,120283026
FI,5541017
FJ,924610
FR,67749632
FO,52889
FM,113131
GA,2341179
GB,67326569
GE,3708610
GH,32833031
GI,32669
GN,13531906
GM,2639916
GW,2060721
GQ,1634466
GR,10641221
GD,124610
GL,56653
GT,17109746
GU,170534
GY,804567
HK,7413100
HN,10278345
HR,3899000
HT,11447569
HU,9709891
ID,273753191
IM,84263
IN,1407563842
IE,5033165
IR,87923432
IQ,43533592
IS,372520
IL,9364000
IT,59109668
JM,2827695
JO,11148278
JP,125681593
KZ,19000988
KE,53005614
KG,6691800
KH,16589023
KI,128874
KN,47606
KR,51744876
KW,4250114
LA,7425057
LB,5592631
LR,5193416
LY,6735277
LC,179651
LI,39039
LK,22156000
LS,2281454
LT,2800839
LU,640064
LV,1884490
MO,686607
MA,37076584
MC,36686
MD,2615199
MG,28915653
MV,521457
MX,126705138
MH,42050
MK,2065092
ML,21904983
MT,518536
MM,53798084
ME,619211
MN,3347782
MP,49481
MZ,32077072
MR,4614974
MU,1266060
MW,19889742
MY,33573874
NA,2530151
NC,271030
NE,25252722
NG,213401323
NI,6850540
NL,17533044
NO,5408320
NP,30034989
NR,12511
NZ,5122600
OM,4520471
PK,231402117
PA,4351267
PE,33715471
PH,113880328
PW,18024
PG,9949437
PL,37747124
PR,3263584
KP,25971909
PT,10325147
PY,6703799
PS,4922749
PF,304032
QA,2688235
RO,19119880
RU,143449286
RW,13461888
SA,35950396
SD,45657202
SN,16876720
SG,5453566
SB,707851
SL,8420641
SV,6314167
SM,33745
SO,17065581
RS,6834326
SS,10748272
ST,223107
SR,612985
SK,5447247
SI,2108079
SE,10415811
SZ,1192271
SC,99258
SY,21324367
TC,45114
TD,17179740
TG,8644829
TH,71601103
TJ,9750064
TM,6341855
TL,1320942
TO,106017
TT,1525663
TN,12262946
TR,84775404
TV,11204
TZ,63588334
UG,45853778
UA,43792855
UY,3426260
US,331893745
UZ,34915100
VC,104332
VE,28199867
VG,31122
VI,105870
VN,97468029
VU,319137
WS,218764
YE,32981641
ZA,59392255
ZM,19473125
ZW,15993524
